gene,pval,logfoldchanges,cluster
PCBP3,0.9160547807384484,0.16724186,0
PLCG2,0.9209815363507212,0.052787464,0
TPX2,0.9216676415369706,0.16724186,0
NKG7,0.9468949053216125,0.030156583,0
TPM2,0.9473007944113211,0.047069184,0
CTSW,0.9686539095183628,0.011078469,0
DCAF12,0.978689999011144,0.015124903,0
CD68,0.981651560722327,0.015064255,0
HES4,0.985423084393437,0.015003769,0
FCER1A,0.9894190817145558,0.014943444,0
SCD,0.9896306047913841,0.014943444,0
ASF1B,0.9905260795270041,0.014943444,0
CCL20,0.9947886982761913,0.0051471433,0
IL20,1.0,0.0,0
EFCAB1,1.0,0.0,0
CLCNKB,1.0,0.0,0
PRDM16,1.0,0.0,0
TRBV30,1.0,0.0,0
AOC1,1.0,0.0,0
CALB1,1.0,0.0,0
PBK,1.0,0.0,0
HSD3B2,1.0,0.0,0
ZMAT4,1.0,0.0,0
CTSE,1.0,0.0,0
CFHR1,1.0,0.0,0
ERICH3,1.0,0.0,0
SELENBP1,1.0,0.0,0
CRH,1.0,0.0,0
FAM183A,1.0,0.0,0
LDLRAD1,1.0,0.0,0
CD1B,1.0,0.0,0
ATP1A2,1.0,0.0,0
CLCA4,1.0,0.0,0
CD5L,1.0,0.0,0
PLP1,1.0,0.0,0
APOA2,1.0,0.0,0
BCAN,1.0,0.0,0
XAGE2,1.0,0.0,0
S100A1,1.0,0.0,0
LAMC2,1.0,0.0,0
BSND,1.0,0.0,0
GATA1,1.0,0.0,0
SPRR2G,1.0,0.0,0
SPRR1A,1.0,0.0,0
CA1,1.0,0.0,0
LAMB3,1.0,0.0,0
NDP,1.0,0.0,0
DEFA3,1.0,0.0,0
DNASE2B,1.0,0.0,0
FMO2,1.0,0.0,0
CD1A,1.0,0.0,0
TSLP,1.0,0.0,0
TRBV27,1.0,0.0,0
PGC,1.0,0.0,0
TM4SF19,1.0,0.0,0
ZDHHC19,1.0,0.0,0
GMPR,1.0,0.0,0
ATP13A4-AS1,1.0,0.0,0
SPTSSB,1.0,0.0,0
HIST1H3B,1.0,0.0,0
CP,1.0,0.0,0
CPB1,1.0,0.0,0
RBP2,1.0,0.0,0
CLDN18,1.0,0.0,0
TRH,1.0,0.0,0
PGBD1,1.0,0.0,0
UBD,1.0,0.0,0
MUC13,1.0,0.0,0
ITGB5,1.0,0.0,0
UPK1B,1.0,0.0,0
DNAH12,1.0,0.0,0
CYTL1,1.0,0.0,0
FDCSP,1.0,0.0,0
ALB,1.0,0.0,0
ADH7,1.0,0.0,0
CRHBP,1.0,0.0,0
CCNO,1.0,0.0,0
ESM1,1.0,0.0,0
SPINK1,1.0,0.0,0
SPINK5,1.0,0.0,0
FGA,1.0,0.0,0
GYPE,1.0,0.0,0
HAND1,1.0,0.0,0
CXCL6,1.0,0.0,0
ADH1C,1.0,0.0,0
FABP6,1.0,0.0,0
FOXI1,1.0,0.0,0
IBSP,1.0,0.0,0
RANBP17,1.0,0.0,0
CPLX2,1.0,0.0,0
CXCL9,1.0,0.0,0
LTF,1.0,0.0,0
RSPH9,1.0,0.0,0
ACTA1,1.0,0.0,0
CRISP2,1.0,0.0,0
IGKV1-9,1.0,0.0,0
PPP1R9A,1.0,0.0,0
IGKV1-6,1.0,0.0,0
AZGP1,1.0,0.0,0
IGKV1-8,1.0,0.0,0
FABP1,1.0,0.0,0
CD207,1.0,0.0,0
GKN1,1.0,0.0,0
CNRIP1,1.0,0.0,0
LINC01510,1.0,0.0,0
CPA4,1.0,0.0,0
CAPN14,1.0,0.0,0
MYCN,1.0,0.0,0
TRBV4-2,1.0,0.0,0
TRBV7-3,1.0,0.0,0
TRBV9,1.0,0.0,0
CHRM3,1.0,0.0,0
IGKV3-11,1.0,0.0,0
IGKV1-16,1.0,0.0,0
IGKV2-30,1.0,0.0,0
NPY,1.0,0.0,0
CRISP3,1.0,0.0,0
GSTA2,1.0,0.0,0
C6orf58,1.0,0.0,0
MYL1,1.0,0.0,0
IL20RA,1.0,0.0,0
PNLDC1,1.0,0.0,0
GPR17,1.0,0.0,0
HOXA7,1.0,0.0,0
IGKV1D-39,1.0,0.0,0
EPDR1,1.0,0.0,0
IL5,1.0,0.0,0
IGKV1D-8,1.0,0.0,0
IGKV3D-20,1.0,0.0,0
CCL26,1.0,0.0,0
