gene,pval,pval_adj,logfoldchanges,cluster
SCD,0.0022536391836653303,0.0225363918366533,-23.028662,1
TKT,0.0028301261523088475,0.027169211062164935,-1.0508364,1
FSCN1,0.001592794534395908,0.01647718483857836,-23.27079,1
PILRA,0.0015423947362348425,0.01609455376940705,-22.890598,1
SLC34A2,0.0015423947362348425,0.01609455376940705,-22.890598,1
PRSS21,0.0015423947362348425,0.01609455376940705,-22.890598,1
IFIT2,0.0008971117397166002,0.009786673524181094,-25.575705,1
EMP2,0.0008944148408970754,0.009786673524181094,-23.028662,1
FCER1A,0.0008944148408970754,0.009786673524181094,-23.028662,1
GYPC,0.001282066446521581,0.013736426212731226,-1.0124613,1
CCR10,0.000680288404508134,0.007774724622950104,-24.793257,1
VIM,0.0009773424237836028,0.010565864040903815,-2.341868,1
TRAP1,0.0008073300299112026,0.009054168559751805,-2.3442986,1
TMEM176B,0.0005665062559691521,0.006536610645797908,-23.47836,1
CXCL1,0.0005201191236286724,0.006059640275285503,-23.154753,1
PRC1,0.0005201191236286724,0.006059640275285503,-23.154753,1
TMEM176A,0.0005201191236286724,0.006059640275285503,-23.154753,1
PLBD1,0.0005201191236286724,0.006059640275285503,-23.154753,1
CMBL,0.0005201191236286724,0.006059640275285503,-23.154753,1
PCOLCE,0.0005201191236286724,0.006059640275285503,-23.154753,1
PAICS,0.0007094470282023986,0.008031475790970551,-2.3442986,1
CHST2,0.00045436989054136026,0.005679623631767003,-23.378263,1
LGALS2,0.00045436989054136026,0.005679623631767003,-23.378263,1
S100B,0.0004404267047906806,0.0056224685717959225,-24.907415,1
PCSK1N,0.0003996093400991001,0.0051562495496658076,-24.580997,1
IFIT3,0.00034594526738391927,0.004561915613853881,-24.220926,1
TRIM58,0.0003031678399247125,0.004042237865662834,-23.27079,1
PARD6B,0.0003031678399247125,0.004042237865662834,-23.27079,1
MT1A,0.0003031678399247125,0.004042237865662834,-23.27079,1
CD300E,0.0003031678399247125,0.004042237865662834,-23.27079,1
HMGA1,0.0004692626332504629,0.00580531092680985,-1.2318715,1
IRF8,0.00024926365633509923,0.003519016324730813,-23.967146,1
